StudentID,CGPA,Internships,Projects,Workshops_Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
STU07174,8.04,1,2,2,73.3,3.5,No,Yes,54.7,79.5,Placed
STU09478,8.93,1,1,1,86.4,3.8,No,No,71.7,62.4,Placed
STU08838,6.29,0,3,1,87.8,2.7,No,Yes,64.5,59.4,NotPlaced
STU03813,6.73,1,4,3,68.4,3.7,No,Yes,67,63.6,Placed
STU03154,7.16,2,2,1,68.7,3.2,Yes,No,84.7,68.5,Placed
STU03562,6.82,2,0,0,90.8,4.3,Yes,No,62.2,73.6,Placed
STU05563,6.94,0,1,0,88.9,3.3,No,No,84.6,64.4,NotPlaced
STU03312,7.9,0,3,2,59.1,3.9,Yes,No,77.2,70.4,NotPlaced
STU06756,5.35,0,2,1,63.7,4.8,No,No,91.4,65,NotPlaced
STU05569,7.75,0,4,0,78.9,2.4,Yes,Yes,64.7,70.9,Placed
STU04997,8.14,1,1,3,74.7,3.7,Yes,No,52.5,65,Placed
STU01870,7.13,0,2,2,71.7,4.5,No,Yes,89.4,73.6,Placed
STU07663,6.89,0,1,0,94,3.3,Yes,Yes,69.4,44.7,NotPlaced
STU09155,7.23,1,1,0,77.9,3,No,Yes,76.3,73.7,NotPlaced
STU08592,6.03,3,0,1,60.8,3.3,No,No,79.6,72.3,NotPlaced
STU07356,8.28,1,2,1,77.6,2.8,Yes,Yes,81,92.5,Placed
STU08599,6.54,0,2,0,72.5,3.7,No,No,66.5,73.3,NotPlaced
STU07349,6.69,1,0,1,82.5,2.8,No,Yes,61.9,67.8,NotPlaced
STU06954,6.9,1,3,1,86.4,3.9,No,Yes,77.4,61.9,Placed
STU05745,5.91,2,4,1,74.8,2.6,No,Yes,55.6,72.2,Placed
STU09356,7.93,2,3,2,80.5,5,No,Yes,71.6,82.7,Placed
STU00053,6.89,1,2,1,71.3,1.9,No,Yes,69.2,62.8,Placed
STU07416,5.91,2,2,2,67.9,2.6,No,Yes,61.4,63.6,Placed
STU08406,5.37,0,2,1,77.4,3.5,No,No,90.4,80.7,NotPlaced
STU07048,7.42,0,3,1,71.1,4.1,Yes,Yes,76,72.4,Placed
STU06686,7.63,1,2,2,55.7,5,Yes,No,62.8,82.4,Placed
STU08528,7.69,0,3,1,71.1,4.4,Yes,No,48.3,64,Placed
STU09993,8.1,3,2,1,87.6,5,No,Yes,80,47.1,Placed
STU02419,7.85,2,3,3,91.3,2.8,Yes,Yes,88.3,83.4,Placed
STU07377,7.92,0,1,0,80.5,5,Yes,No,79,45,NotPlaced
STU05180,7.51,1,1,1,71.6,3.3,No,No,89.3,85.2,NotPlaced
STU04872,8.72,1,2,2,58.2,5,No,Yes,71.1,62.8,Placed
STU09372,7.46,1,1,0,63.1,1.1,Yes,No,67.1,43.4,NotPlaced
STU05011,8.94,1,1,1,66,3.4,No,Yes,68.3,64.9,Placed
STU02758,6.82,1,1,2,82,3.7,Yes,No,58.4,70.5,NotPlaced
STU08757,7.05,0,2,0,68.7,2.8,Yes,No,100,85.4,NotPlaced
STU02868,6.7,2,2,1,79.2,1.4,Yes,No,78.1,61.6,Placed
STU00565,8.58,2,2,1,69.2,3,No,Yes,86.5,72,Placed
STU06587,8.79,0,3,1,81.5,3.5,Yes,Yes,78.1,56.1,Placed
STU04295,8.59,1,1,1,61.3,2.3,Yes,No,83.7,74.5,NotPlaced
STU01401,6.56,2,3,0,63.9,2.9,No,No,62.6,60,NotPlaced
STU02930,8.39,2,3,2,60.4,3.5,No,Yes,59.5,75.9,Placed
STU06294,7.89,0,2,1,82.3,4.4,No,No,69.7,80.5,NotPlaced
STU07312,6.82,1,2,0,65.5,3.4,No,Yes,77,77.9,Placed
STU03886,7.98,3,0,1,73.3,4.2,Yes,Yes,71.7,70.6,Placed
STU00833,6.6,0,3,2,82.5,2.8,Yes,Yes,86.5,68.6,Placed
STU02955,6.65,2,2,1,51.8,5,Yes,No,80.3,64.1,Placed
STU02132,7.52,1,3,0,54.3,3.5,No,Yes,87.3,64.9,Placed
STU01230,9.49,0,2,2,71.3,3.5,Yes,Yes,86.6,81.7,Placed
STU01242,7.32,0,2,2,87.8,3.5,Yes,No,76.9,67.2,NotPlaced
STU01139,8.04,1,2,1,63.3,3.6,Yes,No,65.1,56.6,Placed
STU01494,7.67,0,4,2,74.4,2.3,No,Yes,71.2,71.7,Placed
STU08345,5.71,2,0,1,77,4.2,Yes,Yes,74.7,65.8,Placed
STU04927,7.1,2,2,2,75.4,3.8,Yes,No,92.2,76,Placed
STU07351,6.68,1,2,0,63.2,3.2,Yes,Yes,79.9,71,Placed
STU03559,7.4,0,3,2,71.6,4.6,Yes,No,72.8,63.4,Placed
STU03305,8.49,2,1,1,52,3.3,No,Yes,61.2,57,NotPlaced
STU00842,8.11,1,1,0,88,3.7,Yes,Yes,86.1,69.1,Placed
STU04159,6.92,1,1,3,81.9,2.5,Yes,Yes,72.1,57.3,Placed
STU01260,7.45,0,1,2,52.1,2.8,Yes,Yes,87,69.3,NotPlaced
STU02167,6.77,1,2,0,85.4,3.8,No,No,77.6,70,NotPlaced
STU02120,7.33,1,3,1,70.2,4.4,No,Yes,64.2,57.3,Placed
STU03262,7.54,1,4,1,62.3,2.5,No,No,59,74.6,NotPlaced
STU03630,6.93,2,0,2,80.5,2.8,No,No,51.8,52.4,Placed
STU00645,7.28,0,0,2,70,4.5,Yes,Yes,74.1,83.8,NotPlaced
STU07843,8.09,0,1,2,85.7,3.7,Yes,Yes,78.4,85.4,Placed
STU06486,9.75,0,2,2,58,2.7,No,Yes,76,74.2,Placed
STU01664,6.95,0,1,0,64.4,3.5,Yes,Yes,71.6,48.9,NotPlaced
STU05007,8.44,1,3,2,77.2,3.6,Yes,No,71,50.8,Placed
STU08538,9.03,0,3,1,80.5,3.9,Yes,Yes,46.3,58.8,Placed
STU09892,8.32,1,2,1,89.7,3.6,Yes,No,84.6,40,Placed
STU04832,6.43,2,3,2,57.2,2.5,Yes,Yes,56.3,69.9,Placed
STU07343,8.27,1,2,3,64,3.2,Yes,No,80.4,79.1,Placed
STU08105,6.46,1,1,3,55.9,3.1,No,Yes,73.4,62.7,NotPlaced
STU02278,6.47,3,4,1,59.1,2.7,Yes,Yes,81.4,64.7,Placed
STU00731,7.68,0,2,0,76.9,4,No,Yes,60.6,92.9,NotPlaced
STU04479,6.24,1,4,1,70.9,3.3,No,Yes,40,72.9,Placed
STU09290,8.3,1,3,2,56.6,1.6,Yes,No,77.1,88,Placed
STU04151,7.45,1,1,0,67.4,2.1,Yes,Yes,65.6,53.8,NotPlaced
STU06527,7.19,1,1,1,72.3,4.1,No,No,65.3,73.2,NotPlaced
STU01091,7.44,0,1,1,91.3,4.2,No,No,57.9,71.5,NotPlaced
STU04417,7.74,1,0,2,68.2,4.4,Yes,Yes,82.6,58.1,Placed
STU05228,7.87,1,1,0,63.5,3.2,Yes,Yes,71.6,78.9,Placed
STU07982,7.05,1,0,2,66.5,2.7,No,No,54.8,59.5,NotPlaced
STU00877,7.03,0,3,1,64.7,3.2,Yes,Yes,55.8,66.8,NotPlaced
STU03606,6.79,1,1,1,74.7,3.7,No,No,77.5,87.2,NotPlaced
STU08959,8.36,2,1,1,87.2,4.7,Yes,Yes,72.2,60.7,Placed
STU04116,7.16,1,0,0,63.9,3.5,Yes,No,69.3,84.9,NotPlaced
STU00700,7.33,2,0,2,71.1,4.2,No,Yes,52,90.7,Placed
STU02512,7.99,0,2,2,58.2,3.9,Yes,Yes,54.4,58.3,NotPlaced
STU05781,6.39,0,2,0,100,3.8,Yes,Yes,87.3,58,NotPlaced
STU09385,6.85,1,2,2,73.9,3.2,Yes,No,86.4,76.6,NotPlaced
STU04723,7.52,2,2,1,63.4,4,Yes,No,62.4,69,Placed
STU00453,6.61,1,3,3,79.9,4.5,Yes,Yes,55.5,79.8,Placed
STU04336,6.92,1,1,2,58.5,3.8,Yes,Yes,84.4,66.3,Placed
STU08683,5.98,0,2,3,88,3.7,No,Yes,74.7,53.4,NotPlaced
STU09805,8.24,2,2,3,66.2,3.8,No,Yes,62.5,55.4,Placed
STU09264,6.81,2,2,1,62.6,4,Yes,Yes,53.8,71.4,Placed
STU06654,7.8,3,3,2,72.4,3.7,No,No,55.8,70.7,Placed
STU06418,8.83,1,1,1,75.5,3.3,Yes,No,76.3,78.3,Placed
STU03231,7.12,0,0,1,75.1,3.9,Yes,No,89,63.8,NotPlaced
STU02537,8.38,1,2,0,92.8,3.6,No,Yes,87.3,67.4,Placed
STU02635,9.03,0,3,1,88.5,3.3,Yes,Yes,63.6,87.7,Placed
STU02740,8.27,0,3,3,78.1,4.1,Yes,Yes,68.7,63,Placed
STU05539,6.39,1,1,3,60.8,4.5,Yes,Yes,82.3,76.2,Placed
STU02073,7.58,2,1,1,86.7,3.6,Yes,Yes,77.4,77,Placed
STU02781,8.29,1,0,1,80.7,1.4,Yes,No,67.2,72.4,NotPlaced
STU00426,8.73,0,3,1,76.3,4.4,Yes,No,71,75.4,Placed
STU00223,8.12,1,3,1,72.3,3.4,No,Yes,63.2,62.3,Placed
STU04873,6.38,1,2,2,78.1,3,No,Yes,97.8,77.6,Placed
STU02857,6.85,1,3,1,78,4.1,Yes,Yes,69.3,62.1,Placed
STU01341,7.64,1,1,2,88.4,2.2,No,Yes,68.5,51,Placed
STU06644,6.9,1,2,1,84.7,3.5,No,No,85.4,90.9,Placed
STU01338,7.23,2,2,2,63.3,3,No,No,63.5,92.7,Placed
STU04866,5.98,2,1,2,87.3,4,No,Yes,84.7,63.7,Placed
STU06879,7.23,1,1,2,77.5,3.5,Yes,Yes,64.2,47.7,Placed
STU09748,6.46,0,1,1,61.7,2.6,Yes,No,78.8,73.1,NotPlaced
STU09411,7.47,2,0,2,66.7,3,Yes,Yes,77.5,66.2,Placed
STU07211,9.63,1,1,2,78.4,2.6,Yes,Yes,73.1,58.9,Placed
STU04725,7.43,2,3,0,68.7,2.6,Yes,No,89.2,66.5,Placed
STU01604,6.78,1,0,1,76,3.5,Yes,Yes,90.1,56,NotPlaced
STU04709,8.36,1,0,1,61.9,2.5,Yes,No,63.4,61,NotPlaced
STU08797,7.04,0,3,1,71,4.4,Yes,Yes,83.5,76,Placed
STU00790,6.01,0,3,2,63.7,3.4,Yes,Yes,90.4,65.5,NotPlaced
STU09450,8.17,1,2,0,76.5,3.9,No,Yes,76.2,77.8,Placed
STU05535,7.36,3,0,1,71.2,3.2,No,Yes,59,52.3,Placed
STU05767,8.06,1,2,2,68.6,3.7,No,No,76.6,83,Placed
STU00346,7.71,0,3,2,54.3,2.8,No,No,67.3,89.8,NotPlaced
STU00212,8.52,0,4,1,74.5,3.5,Yes,Yes,60.7,73.2,Placed
STU00981,8.21,1,2,2,60.5,2.7,Yes,Yes,64,67.3,Placed
STU03266,9.25,0,2,1,67,2.6,Yes,No,68.8,73.1,NotPlaced
STU05399,5.8,0,0,0,65.1,2.9,No,Yes,58.6,56.9,NotPlaced
STU00026,7.6,2,3,2,65.6,2.8,No,Yes,80,56.8,Placed
STU05165,8.22,0,2,1,61,2.3,No,No,76.2,64.9,NotPlaced
STU04254,6.52,0,1,2,66.2,3.6,Yes,No,83.7,72.8,NotPlaced
STU02377,7.18,1,0,0,74.1,3,No,Yes,67.6,56.8,NotPlaced
STU09775,7.23,0,1,1,69.7,4.3,Yes,Yes,49.5,87.9,NotPlaced
STU01220,9.43,0,1,1,63.9,2.7,Yes,Yes,63,81.2,NotPlaced
STU05425,7.34,0,3,1,65.5,3.1,No,No,71,62.3,NotPlaced
STU04874,7.71,2,2,1,69.8,4.6,Yes,Yes,88.4,51.7,Placed
STU00627,6.61,1,3,3,75.8,2.5,Yes,No,72.5,69.7,Placed
STU03373,8.81,0,1,3,86.8,2.5,Yes,No,85,67.9,NotPlaced
STU04823,6.74,2,2,2,51.5,2.9,No,Yes,68.2,72.1,Placed
STU06246,7.95,1,3,2,78.7,2.4,Yes,No,78.3,86.6,Placed
STU09498,8.15,2,2,3,72.4,3.1,Yes,No,75.4,61,Placed
STU02005,5.8,0,2,1,76.3,3.8,Yes,No,80.1,59.7,NotPlaced
STU09501,7.26,0,1,2,81.8,4,No,Yes,63.5,80.7,Placed
STU00374,8.36,1,1,0,84.7,3.7,Yes,No,62.6,78.4,NotPlaced
STU06258,6.29,1,3,2,71.7,3.3,No,Yes,65.3,60.9,Placed
STU05258,6.84,2,1,2,70.9,3.1,No,Yes,75.5,73.8,Placed
STU09039,8.2,2,0,2,75.1,3.1,No,No,77.6,68.8,Placed
STU00529,7.73,3,1,0,77.8,3.8,Yes,No,78.6,86.3,Placed
STU05966,7.61,1,1,2,72.2,3.7,Yes,Yes,51.7,96.8,Placed
STU04877,6.29,1,0,0,52.5,4,Yes,Yes,67.6,71.5,NotPlaced
STU04453,8.53,0,2,2,72.8,2.7,Yes,No,67.4,52.4,NotPlaced
STU04858,8.35,1,4,2,64.2,2.8,Yes,No,68.3,68.1,Placed
STU05441,6.96,1,1,0,75.7,5,Yes,No,86.2,60.9,NotPlaced
STU08656,6.44,3,1,1,66.7,2.8,Yes,Yes,74,56.3,Placed
STU07962,8.97,2,2,2,76.2,2.7,No,Yes,75.6,71.4,Placed
STU00668,8.85,1,4,0,56.2,4.4,No,No,66.3,68.4,Placed
STU01006,7.85,0,4,0,83,3.7,Yes,Yes,82.1,44,Placed
STU01510,8.83,1,3,1,82.7,4.9,No,Yes,86.9,81.5,Placed
STU02907,7.13,0,0,0,81.4,3.1,No,No,88.7,49.1,NotPlaced
STU07597,6.08,0,1,1,70.2,3.8,Yes,Yes,63.7,68,NotPlaced
STU01248,6.81,1,1,2,76.1,2.5,No,Yes,77.5,68.6,NotPlaced
STU06274,6.53,0,1,1,77,3,No,Yes,63.9,61.4,NotPlaced
STU06962,7.71,1,3,0,66.2,3.2,No,No,71.1,68.7,Placed
STU09035,7.47,2,1,2,95.4,3.1,Yes,No,62.6,58.6,Placed
STU02188,7.26,2,1,1,85.7,3.2,Yes,No,49.9,73.6,Placed
STU00454,7.95,0,1,3,67.5,2.5,Yes,Yes,78.3,66,NotPlaced
STU06321,8.61,1,0,3,71.5,3.9,No,No,65.5,58.7,Placed
STU06366,9.11,1,2,3,74.1,2.9,No,Yes,74.9,62,Placed
STU03494,7.02,1,1,2,60.3,2.9,No,Yes,58.2,53.6,NotPlaced
STU05213,7.34,0,1,1,95.2,3.6,No,Yes,42.8,73.9,NotPlaced
STU09811,6.99,1,2,0,77.7,3.7,No,Yes,87.4,65.5,Placed
STU02911,7.02,2,2,1,67.5,2.8,Yes,Yes,91.1,49.7,Placed
STU00050,5.91,1,1,2,77.5,3.6,No,No,57.3,66.9,NotPlaced
STU01865,8.67,0,2,0,65.3,4.4,No,Yes,59.9,84.6,NotPlaced
STU04612,5.68,0,0,1,86.9,1.8,Yes,Yes,85.9,55.8,NotPlaced
STU00943,8.09,1,0,2,75.9,4.1,Yes,No,78.8,75.1,NotPlaced
STU02354,6.27,2,1,2,80.9,4.8,Yes,No,40,71.2,Placed
STU07479,9.23,2,3,2,87.3,3.2,Yes,Yes,85.2,74.2,Placed
STU01658,8.69,2,3,1,82.4,3.2,No,No,50.5,73.8,Placed
STU05457,6.93,1,2,1,71.6,3.8,No,No,62.9,76.5,NotPlaced
STU06470,6.9,0,1,1,70.6,1.9,No,No,68.2,72.1,NotPlaced
STU01901,8.13,2,4,3,73,2.9,Yes,Yes,73.5,60.7,Placed
STU02759,6.48,1,0,1,90.2,2.8,Yes,Yes,67.7,69.5,NotPlaced
STU07136,7.96,1,1,1,66.9,3,No,Yes,61.9,80.5,Placed
STU03360,6.62,1,2,1,80.9,4,No,No,62.7,75.9,NotPlaced
STU07731,8.89,2,2,1,58.8,4,Yes,Yes,53.2,71.1,Placed
STU04648,7.47,1,1,0,75.9,2.4,No,Yes,59.9,67.8,NotPlaced
STU07449,8.61,1,1,3,81.6,3.7,No,No,77.4,61.6,Placed
STU04369,6.89,0,2,2,70.1,3,Yes,No,84.2,89.8,NotPlaced
STU09527,6.43,0,2,1,71.8,3.3,Yes,Yes,73.9,76.1,NotPlaced
STU00878,7.7,1,2,1,65.8,3.7,No,Yes,81.2,96.2,Placed
STU06479,7.28,0,1,1,71.3,4,No,No,73.1,62.3,NotPlaced
STU08283,8.23,3,2,2,51.8,3.5,No,Yes,49.3,87.6,Placed
STU09752,7.63,1,2,1,69.6,3.7,No,Yes,67.6,74.3,NotPlaced
STU03021,8.58,0,0,1,67.9,3.2,Yes,No,61.5,90.9,NotPlaced
STU01592,5,0,1,2,72.5,3.1,No,Yes,88.1,73.2,NotPlaced
STU06731,9.01,1,2,2,66.1,4,No,No,78.4,62.9,Placed
STU00428,8.12,3,0,3,66.6,4.3,Yes,Yes,77.6,59.9,Placed
STU08834,8.35,0,4,0,67.7,3.1,Yes,No,93.4,63.5,Placed
STU04332,6.46,0,1,0,49.7,4.2,Yes,No,61.2,77.1,NotPlaced
STU06683,8.14,0,2,2,50.1,4.8,Yes,Yes,45.4,61,Placed
STU06038,5.97,1,2,1,78.8,2.9,No,No,79.2,67.7,NotPlaced
STU08929,6.6,2,0,2,75.5,3.4,No,Yes,57.2,40,NotPlaced
STU02129,8.14,0,3,1,63,3,No,No,62.7,75.5,NotPlaced
STU05051,8.16,0,1,0,66.7,5,No,Yes,76.5,74.9,NotPlaced
STU06739,10,0,1,1,81.9,3.9,Yes,No,48.9,83.8,NotPlaced
STU02050,7.64,2,3,2,63.9,3.9,No,Yes,76.4,100,Placed
STU09408,7.12,1,2,1,76.4,4.1,Yes,No,45.6,61.3,Placed
STU06715,5.73,2,3,2,64.9,3.6,No,No,71.7,64.1,Placed
STU02098,6.54,1,3,1,77.1,2.7,No,No,61.6,46.9,NotPlaced
STU03667,8.16,1,2,1,71.5,3.4,Yes,Yes,68.6,63.2,Placed
STU00388,9.19,1,1,2,67.1,3.2,Yes,No,79.2,71.6,Placed
STU01033,7.86,2,3,2,75.3,3.8,Yes,Yes,51.7,47.2,Placed
STU01152,5.56,0,3,1,99.6,3,Yes,Yes,87.1,45.9,NotPlaced
STU01547,6.6,1,3,2,59.4,3.2,Yes,Yes,74.5,76.6,Placed
STU05026,6.39,1,1,3,68.6,3.7,Yes,Yes,73.2,46.7,Placed
STU08909,8.01,1,4,2,67.2,3.2,No,Yes,58.9,61.1,Placed
STU05671,9.75,1,1,1,50.3,3,Yes,No,79.3,52.2,NotPlaced
STU03387,6.77,2,1,1,74.1,4.9,Yes,Yes,80.5,72.8,Placed
STU09007,7.32,1,4,1,65.9,2.7,Yes,Yes,84.5,66.1,Placed
STU08413,6.55,2,3,1,77.5,2.8,Yes,Yes,81.2,80.9,Placed
STU00020,6.23,0,1,1,66.2,4.9,No,No,70.8,72.7,NotPlaced
STU04376,8.08,1,2,2,56,3.9,No,No,55.9,82.8,Placed
STU09936,7.61,2,1,1,57.7,4.5,Yes,Yes,88.9,61.2,Placed
STU06520,7.81,1,2,3,73.3,2.9,Yes,Yes,75,55.8,Placed
STU03894,5.78,2,2,0,71,4.5,Yes,Yes,73.8,77,Placed
STU04315,7.13,3,0,0,69.9,2.8,Yes,Yes,62.6,91.3,Placed
STU04806,6.06,1,2,3,65.6,3.2,Yes,No,72.5,90.4,NotPlaced
STU03944,5.35,1,0,0,75,3.4,Yes,Yes,77.4,75.8,NotPlaced
STU05098,6.49,1,2,1,87.5,3.8,Yes,Yes,76.1,72.2,Placed
STU07086,5.61,1,2,1,50.9,3.7,No,Yes,59.6,71.3,NotPlaced
STU06894,7.9,0,1,1,78.1,3.5,Yes,Yes,79,41,Placed
STU06637,7.84,1,1,1,89.8,5,No,Yes,68.1,68.4,Placed
STU07866,6.58,0,2,1,89.5,1.8,Yes,Yes,45.2,81.3,NotPlaced
STU07023,7,0,3,1,82,3.4,Yes,No,83.7,69.2,Placed
STU07670,7.46,0,2,1,70.3,3.5,No,Yes,46.3,58.5,Placed
STU07769,8.12,0,1,0,58.7,3.5,Yes,No,89.7,71.6,NotPlaced
STU02322,8.2,2,3,1,71.5,4.3,No,No,52.6,60.7,Placed
STU07112,7.65,1,1,2,84.7,3.2,Yes,Yes,99.5,76.5,Placed
STU00287,7.36,1,1,1,66.8,3.7,Yes,No,59.6,47.8,NotPlaced
STU00925,8.58,2,1,1,78.3,2.8,Yes,Yes,76.3,65.7,Placed
STU01707,8.11,2,3,0,71.5,3.9,No,No,74.3,53.9,Placed
STU02531,7.93,0,3,1,68.1,2.9,No,Yes,71,74.2,NotPlaced
STU03672,8.29,1,3,2,61.2,3.5,No,No,100,63.6,NotPlaced
STU05489,6.86,1,1,1,64.9,2.9,Yes,Yes,91.8,41.4,NotPlaced
STU06046,7.13,2,1,1,72.3,3.2,Yes,Yes,69.6,79.4,Placed
STU00013,7.72,1,3,2,70.2,3.7,Yes,Yes,82.7,66.6,Placed
STU09645,7.3,0,3,2,80.8,2.5,No,Yes,70.3,73.5,NotPlaced
STU03170,7.13,1,2,0,76,3.8,Yes,No,79.5,73.7,NotPlaced
STU05202,7.04,1,3,1,87.2,4.5,Yes,Yes,71.8,95.1,Placed
STU05647,6.95,2,2,0,95.4,3.8,Yes,No,74,76.4,Placed
STU01954,6.91,1,3,1,70.1,3.8,No,Yes,67.1,77.2,Placed
STU01368,6.66,2,2,1,59.6,3.2,No,Yes,51.4,77.1,Placed
STU02869,7.98,0,2,2,80.7,3,No,Yes,68.6,67.9,NotPlaced
STU01598,9.35,0,2,0,66,3.9,Yes,No,79.7,85.4,NotPlaced
STU09499,7.56,0,1,2,61,1.8,Yes,No,77.5,69.7,NotPlaced
STU09850,8.12,2,3,0,91.1,3.4,Yes,Yes,76.7,47.1,Placed
STU05022,6.84,2,1,1,72.8,3.2,Yes,Yes,56,66.6,Placed
STU05314,7.67,0,1,2,79.1,2.4,No,No,85.1,66.4,NotPlaced
STU06166,6.95,2,2,1,75.6,3.5,No,Yes,74.9,87.4,Placed
STU01235,6.78,1,1,3,70.5,3.7,Yes,No,64.1,84.3,NotPlaced
STU02130,8.15,0,4,1,76.6,4.2,Yes,No,75.4,65.8,Placed
STU09820,8.5,1,2,0,58.6,3.8,Yes,Yes,52.5,76.9,Placed
STU08724,7.79,0,1,2,69.6,3.2,Yes,Yes,64.7,50.5,NotPlaced
STU09943,9.32,1,1,1,77.6,3.7,Yes,No,54.8,79.8,Placed
STU08042,7.34,2,2,2,83.8,3.5,Yes,Yes,86.7,50.9,Placed
STU02970,7.74,0,3,0,82.1,3.9,Yes,No,93.4,64.1,NotPlaced
STU00750,6.23,3,4,3,69.7,4.3,No,No,90.8,64.6,Placed
STU05940,9.51,0,3,1,43.5,4,No,Yes,80.8,59.1,Placed
STU04143,7.84,1,2,2,67.2,3.4,No,Yes,68.2,74.4,Placed
STU07320,5.87,2,0,1,73.1,3.5,Yes,Yes,57.6,57.6,Placed
STU05994,7.97,2,1,2,73,4.5,No,No,62.1,76.7,Placed
STU08308,9.22,1,2,1,66,2.6,No,No,79.7,68.3,Placed
STU08772,8.91,0,1,1,67.9,3.1,No,No,87.9,54.4,NotPlaced
STU00055,8.43,2,2,0,95.5,3.2,Yes,No,67.2,73.2,Placed
STU09548,8.17,2,3,0,83.7,4.4,No,No,86.9,44.5,Placed
STU05536,9.75,2,3,1,81.4,3.7,No,Yes,79.1,86.4,Placed
STU03765,7.7,2,1,1,76.3,2.5,No,Yes,72.6,51.4,Placed
STU00294,8.26,0,4,2,77.9,3.2,No,Yes,85.7,75.1,Placed
STU05996,7.65,1,3,1,64.6,3.8,Yes,No,50,72.7,NotPlaced
STU04434,6.99,2,1,0,68.9,3.3,Yes,No,76.6,62.6,NotPlaced
STU00637,8.24,1,2,1,62.9,3.4,No,Yes,74.6,88.6,Placed
STU05815,5.31,2,1,2,76.4,3.6,Yes,Yes,80.3,76.8,Placed
STU08242,7.49,0,3,2,59.2,3.2,No,No,92.2,87.7,NotPlaced
STU02916,9.16,1,2,2,48.4,3.7,No,Yes,100,68.9,Placed
STU03246,8.19,0,2,2,70.8,2.4,No,Yes,77.3,64.4,NotPlaced
STU09170,7.81,1,3,1,86.2,3.3,Yes,No,42.1,54.8,Placed
STU09476,7.53,2,2,3,78.5,3.3,No,Yes,72.8,75.1,Placed
STU09769,8.13,1,2,1,92.6,3.4,No,Yes,65.1,66,Placed
STU05361,7.46,2,1,1,76.6,3.9,No,No,73.2,49.1,Placed
STU07968,7.16,1,3,1,58.7,4.1,No,Yes,64.8,65.6,Placed
STU02741,7.87,1,2,2,75.9,3.9,Yes,No,100,90.8,Placed
STU03761,7.79,1,1,0,72,1.9,Yes,No,58.5,53.5,NotPlaced
STU09226,7.66,2,3,2,65.6,3.6,Yes,No,69.1,78.3,Placed
STU05236,9.36,0,3,1,77.6,3.2,Yes,No,82.9,80.1,Placed
STU03252,7.77,2,2,0,77.2,3.6,No,Yes,77.2,81,Placed
STU01762,8.17,0,1,0,76.6,4.2,No,Yes,98.2,58.7,NotPlaced
STU09747,7.39,3,4,3,62.2,4.5,Yes,No,65.9,76.5,Placed
STU03942,8.61,1,2,3,54.8,3.2,Yes,Yes,52.3,67.2,Placed
STU03660,9.49,0,2,3,52.2,1.8,Yes,No,73.5,58.5,Placed
STU03710,7.54,1,3,1,60.6,2.3,No,No,72,56.9,NotPlaced
STU06929,7.44,3,1,2,64.8,3.2,No,No,66.7,54.6,Placed
STU02624,8.77,2,1,2,72.3,3.1,No,Yes,70.7,70.4,Placed
STU01478,7.88,1,1,0,64.2,4,Yes,Yes,80.4,89.6,Placed
STU09028,8.46,3,2,1,82.6,3.3,No,No,73.4,81.5,Placed
STU05655,6.71,2,1,2,78.7,2.5,Yes,Yes,69.9,68.1,Placed
STU08922,7.85,0,3,1,59.2,4.3,Yes,No,63.7,46.5,NotPlaced
STU03913,8.41,1,2,1,54.1,4.6,Yes,Yes,74,57.2,Placed
STU05094,9.03,2,2,0,77.6,4.4,No,Yes,60.7,67.9,Placed
STU00915,7.41,0,3,2,53.1,4.9,No,No,69.5,76.9,NotPlaced
STU01040,8.44,0,4,2,84.7,2.8,Yes,Yes,84.1,50.6,Placed
STU02655,6.91,0,2,2,64.9,3.5,No,No,83.3,62.6,NotPlaced
STU05870,7.15,2,2,1,71.2,3.4,No,Yes,69.2,67,Placed
STU06740,6.57,0,4,0,76.6,3.3,Yes,No,80.1,58,NotPlaced
STU01105,8.5,2,2,1,64,3.8,No,No,57,57.4,Placed
STU05390,5.54,1,3,0,73.1,3.4,Yes,Yes,88.3,63.5,Placed
STU05562,7.48,0,1,1,81.9,2.9,No,No,67.7,70,NotPlaced
STU04911,7.03,0,2,1,70.2,4.3,Yes,Yes,64.2,69.1,Placed
STU09910,8.77,1,2,3,66.9,3.2,Yes,No,70.9,72.8,Placed
STU00451,7.44,3,2,0,74.2,3.7,No,Yes,66.5,71.3,Placed
STU09092,7.19,1,3,2,66.8,1.9,No,No,81.9,73.3,Placed
STU01612,6.09,1,1,1,66.2,3.9,No,Yes,67.3,71.6,NotPlaced
STU02564,7.73,1,1,0,80.3,3.5,Yes,No,74,73.3,NotPlaced
STU09914,8.22,2,1,3,66.5,3,No,Yes,65.3,76.2,Placed
STU08072,8.11,0,2,0,83.6,4.2,Yes,Yes,60,60.4,Placed
STU05765,7.6,0,2,2,82.2,5,Yes,Yes,74,48.7,Placed
STU06259,6.6,1,2,2,66.9,4.1,No,No,73,74.3,NotPlaced
STU02479,6.3,1,1,2,69.6,3.2,No,Yes,73.4,57.9,NotPlaced
STU02037,7.85,2,2,0,73.3,1.7,No,No,68.5,71.7,Placed
STU01377,6.9,0,1,3,76.2,4.5,No,No,73,63.2,NotPlaced
STU06079,6.3,0,2,1,74.8,3.8,No,Yes,61.7,57,NotPlaced
